"","date","hours","low","high","volume"
"345","2021-02-20","17~18",62996337,63346338,20372457682
"346","2021-02-20","19~20",63234755,64092881,23361854997
"347","2021-02-20","21~22",64485927,65491486,37616046409
"348","2021-02-20","23~24",64382103,65282770,38329028760
"349","2021-02-21","1~2",64799197,65431447,27041565274
"350","2021-02-21","3~4",65225479,65492809,11388118831
"351","2021-02-21","5~6",65155421,65525382,14576559389
"352","2021-02-21","7~8",63730172,65060646,44563838436
"353","2021-02-21","9~10",63710483,64541315,39070406419
"354","2021-02-21","11~12",64727420,65315598,28225102906
"355","2021-02-21","13~14",64771738,65140840,18425432930
"356","2021-02-21","15~16",64238093,64674522,22716303755
"357","2021-02-21","17~18",64034681,64501664,21093176885
"358","2021-02-21","19~20",64621182,65338365,32257144912
"359","2021-02-21","21~22",64709046,65035163,19723940015
"360","2021-02-21","23~24",64788095,65241750,23422381946
"361","2021-02-22","1~2",64946179,65348236,16406526772
"362","2021-02-22","3~4",65218831,65774099,14001699119
"363","2021-02-22","5~6",65270578,65660257,15980273590
"364","2021-02-22","7~8",65100591,65520897,18099612937
"365","2021-02-22","9~10",64314697,65134591,38824657008
"366","2021-02-22","11~12",64556270,65339315,26997215347
"367","2021-02-22","13~14",63129800,64531356,43890595369
"368","2021-02-22","15~16",63329855,64029912,34157383118
"369","2021-02-22","17~18",62345534,63970935,35162726819
"370","2021-02-22","19~20",60676142,62311502,47010015369
"371","2021-02-22","21~22",58414435,60849548,65695997356
"372","2021-02-22","23~24",57180352,60416031,54680909062
"373","2021-02-23","1~2",59765786,60999214,35546301357
"374","2021-02-23","3~4",59463912,60818914,26602528950
"375","2021-02-23","5~6",61098110,62558659,31460242094
"376","2021-02-23","7~8",61179695,62691820,39359478414
"377","2021-02-23","9~10",59149205,61313526,42615520507
"378","2021-02-23","11~12",56728776,58763852,53914425443
"379","2021-02-23","13~14",55541239,57559986,48664085493
"380","2021-02-23","15~16",55531301,56938568,37607255890
"381","2021-02-23","17~18",51160953,55210962,64683248710
"382","2021-02-23","19~20",51521489,54546153,48460164403
"383","2021-02-23","21~22",52540013,55173519,51187922619
"384","2021-02-23","23~24",51996480,55315190,45476896447
"385","2021-02-24","1~2",53198156,54859732,33269080131
"386","2021-02-24","3~4",52325776,53589935,26870202264
"387","2021-02-24","5~6",52744627,54474910,29235967641
"388","2021-02-24","7~8",54254143,55162829,30184352625
"389","2021-02-24","9~10",53724758,56319541,42192362659
"390","2021-02-24","11~12",56563969,57570924,38211081675
"391","2021-02-24","13~14",56583806,57744458,35291323189
"392","2021-02-24","15~16",55569114,56783075,34246288238
"393","2021-02-24","17~18",56107109,57156609,26040015607
"394","2021-02-24","19~20",56251927,56953242,21011278442
"395","2021-02-24","21~22",55678382,57046056,32682926886
"396","2021-02-24","23~24",54388216,55929343,30804626548
"397","2021-02-25","1~2",55403428,56129345,19617927871
"398","2021-02-25","3~4",55328822,55896544,11849865422
"399","2021-02-25","5~6",54735393,55514369,20048291128
"400","2021-02-25","7~8",55103624,56218620,28277273116
"401","2021-02-25","9~10",56605937,57560459,39672646736
"402","2021-02-25","11~12",56985001,57485551,40476963097
"403","2021-02-25","13~14",56231297,57013129,51930296246
"404","2021-02-25","15~16",56548201,57269083,1015103376284
"405","2021-02-25","17~18",55761780,56800138,24301970311
"406","2021-02-25","19~20",55790432,56602499,23839357069
"407","2021-02-25","21~22",57137720,58218492,43716458305
"408","2021-02-25","23~24",57243644,58080042,21472790865
"409","2021-02-26","1~2",56752822,57620412,23389163276
"410","2021-02-26","3~4",56276764,56895093,18647607215
"411","2021-02-26","5~6",55348783,56479423,30808498380
"412","2021-02-26","7~8",54308259,55877234,65810391278
"413","2021-02-26","9~10",53314021,54876459,46447502801
"414","2021-02-26","11~12",53838558,54946995,53822569997
"415","2021-02-26","13~14",53397831,54497214,28993504520
"416","2021-02-26","15~16",52250176,53699493,66001646812
"417","2021-02-26","17~18",52156934,53410984,34864954008
"418","2021-02-26","19~20",53174161,54083711,32038501891
"419","2021-02-26","21~22",53246369,54220287,45329924116
"420","2021-02-26","23~24",53097227,54450803,28618563709
"421","2021-02-27","1~2",54304744,55091102,25366901147
"422","2021-02-27","3~4",53652706,54255070,18553504976
"423","2021-02-27","5~6",52901088,53964429,50962274098
"424","2021-02-27","7~8",52370931,53339980,79813219850
"425","2021-02-27","9~10",53877385,54737962,28165901770
"426","2021-02-27","11~12",54140505,54783822,18796980393
"427","2021-02-27","13~14",54305225,54688189,110013618100
"428","2021-02-27","15~16",54293273,54953411,27832903274
"429","2021-02-27","17~18",53416675,54173291,29692267197
"430","2021-02-27","19~20",53918101,54574247,22743821586
"431","2021-02-27","21~22",54125657,54733130,28453051710
"432","2021-02-27","23~24",53568525,54393642,21100530386
"433","2021-02-28","1~2",53586255,54093482,88044592720
"434","2021-02-28","3~4",53997744,54348513,17228285009
"435","2021-02-28","5~6",53633377,54170279,11775037222
"436","2021-02-28","7~8",52800913,53773409,83335301127
"437","2021-02-28","9~10",53155040,53886885,21058656148
"438","2021-02-28","11~12",51967753,53168864,55144839564
"439","2021-02-28","13~14",51422002,52507494,32308686170
"440","2021-02-28","15~16",51567603,52241895,31654916063
"441","2021-02-28","17~18",51674030,52509569,25538644444
"442","2021-02-28","19~20",52133220,52606592,17372243482
"443","2021-02-28","21~22",51371017,52222385,25439340040
"444","2021-02-28","23~24",49839813,51421315,43379343489
"445","2021-03-01","1~2",49590023,50405453,28223684257
"446","2021-03-01","3~4",49620832,50509713,16981490036
"447","2021-03-01","5~6",50974608,51690855,25181191144
