"","date","hours","low","high","volume","fluctuation"
"222","2021-02-10","11~12",48720844,48986373,24187263824,12.1378304683411
"223","2021-02-10","13~14",48629826,48955842,21115968929,14.9028051096742
"224","2021-02-10","15~16",48778185,49041374,11324386560,12.0308646631149
"225","2021-02-10","17~18",48639284,48960005,20315761712,14.6607606914379
"226","2021-02-10","19~20",48886875,49388822,19648869972,22.9449423230322
"227","2021-02-10","21~22",48461741,49164413,27886668452,32.1204599529625
"228","2021-02-10","23~24",47886662,48858757,31770583997,44.4362924920518
"229","2021-02-11","1~2",47694316,48322908,17705983908,18.313328549549
"230","2021-02-11","3~4",48201089,48654826,10613576153,13.2191226679416
"231","2021-02-11","5~6",48407530,48676497,9412203807,7.83605429274721
"232","2021-02-11","7~8",48505747,48903718,15310758061,11.5944423031037
"233","2021-02-11","9~10",48120796,48643710,24755280091,15.2345175967223
"234","2021-02-11","11~12",48536307,49007933,16975164106,13.7402987796689
"235","2021-02-11","13~14",48724577,49236751,15284848604,14.9216196460291
"236","2021-02-11","15~16",48513828,48863958,13661235181,10.2006479959236
"237","2021-02-11","17~18",48408326,48818957,17087088239,11.963277317608
"238","2021-02-11","19~20",48941443,49481691,24957836414,15.7395244009417
"239","2021-02-11","21~22",49452729,50505085,42033782703,30.6592212104023
"240","2021-02-11","23~24",50430256,51126745,31351194625,20.2914321024557
"265","2021-02-14","1~2",50458091,50814464,16749944317,12.7150555665764
"266","2021-02-14","3~4",50234309,50436401,12966589539,7.21045368072374
"267","2021-02-14","5~6",50268241,50584903,12989778120,11.2982042012813
"268","2021-02-14","7~8",50370504,50640242,15068052056,9.62399973740208
"269","2021-02-14","9~10",50556404,51225759,24004369542,23.8819608072603
"270","2021-02-14","11~12",50498731,50923165,17013771671,15.1434084353874
"271","2021-02-14","13~14",50870741,51809606,24235250822,33.4978257177558
"272","2021-02-14","15~16",52114283,52774614,33349853506,23.5599929212734
"273","2021-02-14","17~18",51832515,52520686,20746217647,24.5532981014456
"274","2021-02-14","19~20",52185320,52715245,23205353436,18.9072287213622
"275","2021-02-14","21~22",52258654,53037073,32357455620,27.7732623938369
"276","2021-02-14","23~24",51664253,52402243,26926830944,26.3307934595992
"289","2021-02-16","1~2",52048142,52513785,20113832383,15.9766013811485
"290","2021-02-16","3~4",52207913,52434711,7965524545,7.78162935992103
"291","2021-02-16","5~6",52387788,52641663,12839794125,8.71066391127766
"292","2021-02-16","7~8",52367741,52740753,19960034408,12.7983541777391
"293","2021-02-16","9~10",51990261,52594158,25792535169,20.7202119311821
"294","2021-02-16","11~12",52605638,53295844,29846702151,23.6815460188964
"295","2021-02-16","13~14",53668928,54382810,35336307027,24.4938894113667
"296","2021-02-16","15~16",53446853,53921980,24242461920,16.3020053655288
"297","2021-02-16","17~18",53587952,53890768,17745999237,10.3898706172623
"298","2021-02-16","19~20",53440096,53804806,16293179553,12.5135056034745
"299","2021-02-16","21~22",53669262,54904792,42804308501,42.3920692557396
"300","2021-02-16","23~24",54026348,54458401,19068972537,14.8241003441034
"301","2021-02-17","1~2",53820528,54320716,18960726534,14.6646702847424
"302","2021-02-17","3~4",53710325,54208487,12934767292,14.6052713747388
"303","2021-02-17","5~6",53948600,54374527,14764954169,12.4874627547432
"304","2021-02-17","7~8",54344465,54804931,15572935727,13.5000881015422
"305","2021-02-17","9~10",54488604,54908826,21385337331,12.3202017569295
"306","2021-02-17","11~12",54931852,55635701,32083665157,20.6356680193161
"307","2021-02-17","13~14",55145476,55538655,26123729032,11.5273465134804
"308","2021-02-17","15~16",55750122,56626752,38708095852,25.7013161285632
"309","2021-02-17","17~18",56447941,57109952,28191552372,19.4090482775929
"310","2021-02-17","19~20",56543818,57121162,26331498351,16.926754342116
"311","2021-02-17","21~22",55905774,56588477,29144373810,20.0157028905222
"312","2021-02-17","23~24",56290139,56754685,16472075680,13.6197068344222
"325","2021-02-19","1~2",57638425,58049917,11435166093,14.5063940422157
"326","2021-02-19","3~4",57721219,57985504,8682335894,9.31688185784163
"327","2021-02-19","5~6",57629490,58031349,11161643438,14.166800334905
"328","2021-02-19","7~8",57646063,57915744,11892004300,9.50710791874146
"329","2021-02-19","9~10",57613346,57999909,26225171927,13.6275679725025
"330","2021-02-19","11~12",57263400,57703765,23426140601,15.5242585819416
"331","2021-02-19","13~14",57340753,57650407,20175429252,10.9162825540916
"332","2021-02-19","15~16",57692273,57939227,20758979392,8.70590931124135
"333","2021-02-19","17~18",57995195,58733523,29237117516,26.0283964218041
"334","2021-02-19","19~20",58942577,59303011,22486693791,12.7064381086679
"335","2021-02-19","21~22",58648724,59074561,21141724545,15.0121006477768
"336","2021-02-19","23~24",59189998,60100025,27772676869,32.0813290441987
"337","2021-02-20","1~2",60513703,61445250,29556836328,18.7140942061958
"338","2021-02-20","3~4",61252913,62012340,18515638859,15.2563299766181
"339","2021-02-20","5~6",61856589,62834644,21419894118,19.6484057260029
"340","2021-02-20","7~8",62301867,63265695,28847887685,19.3625957579911
"341","2021-02-20","9~10",63267448,64535773,54917767369,25.4797165726188
"342","2021-02-20","11~12",63474035,64515014,36193779336,20.9125026141156
"343","2021-02-20","13~14",63257566,63726882,22649473111,9.42821332307977
"344","2021-02-20","15~16",63192083,63540982,21433409615,7.00912434310616
